id,ref,alt._#,exc,garden_#_(PPM),peristyle_type,garden_size,peristyle_size,property_size,percent_of_property,shape,peristyle_proportion,orientation_of_peristyle,alignment_with_atrium,direction_from_atrium,peristyle_direction_from_main_entrance,peristyle_direction_from_2nd_entrance,atria,atrium_column_style,tablinum,tablinum_type,access_to_garden...23,pluteus,pluteus_height,pluteus_width,pluteus_description,pluteus_decoration,fence,fence_height,order,walkways,walkway_sides...33,walkway_width_min,walkway_width_max...35,narrowest_walkway_dir,widest_walkway_dir,portico_sides...38,columns,pillars,total_frstdng_supports,engaged,column_material,bases,main_shaft_decoration,lower_shaft_decoration,lower_decoration_height,lower_decoration_proportion,pillar_surface_treatment,column_diameter,column_height,proportion,walkway_width_max...53,avg_intercolumniation,intercolumniation_range,intercolumniation_deviation,ratio_diam_to_intercolumniation,decoration,painting_style...59,pavement,furniture,table_(Moss/_Cohon),table_position...63,sculpture,oscillae,water...66,dining,other_features,cisterns,other_finds,other_gardens...71,visible_from_entrance?,visible_from_atrium?,orientation,private_bath,plants...76,atrium_direction...77,largest_room_direction...78,notes...79,water...80,pools...81,pool_surface,pool_position...83,pool_depth,fountain_in_pool,channel_material,channel_type,channel_width,channel_sides,fountains...90,date_(Richardson),entrance_from_street?,lararium_(Boyce/Orr)...93,upper_story,large_room_on_axis?,...96,...97,connection_to_water_supply,rooms_accessed...99,#_areas_accessed,lararium_(Boyce),altar...102,aedicula,simple_niche,sacellum...105,walkway_notes,pools...107,pool_position...108,rectangular,rect_with_exedra,square,apsidal,circular,semicircular,other,painting_style...116,garden_painting,myth_painting,landscape,animal_painting,other_painting,access_to_garden...122,atrium_direction...123,largest_room_direction...124,other_gardens...125,connection_to_water,building_type,rooms_accessed...128,stairs/_corridors_accessed,total_areas_accessed,visited?,measured?,entrance_photo?,walkway_sides...134,portico_sides...135,walkway_N,walkway_S,walkway_E,walkway_W,portico_N,portico_S,portico_E,portico_W,shrine_direction,aedicula_(on_axis),niche_w/_aedicula,niche,altar...148,painting,sacellum...150,lararium_(Boyce/Orr)...151,tables,cupboards,triclinia_(masonry),triclinia_(wood),seating,1_support_table,2_support_table,3_support_table,4_support_table,notes...161,table_position...162,table_function,fountains...164,pools...165,plants...166,cavities,planters_/boxes,vines,furrows_/beds,unspecified,brick_supports,opus_mixtum_supports,masonry_supports,stone_supports,stone_blocks
III.02.01_House of Trebius Valens,"NSc 1915:429, 1916:149-51, 231-4; Spinazz ScNv 292-6; Jash 1:15-16",NA,1915-16,x,truncated,NA,220,540,0.4074074074074074,NA,NA,N-S,aligned,N,N,NA,1 tuscan,NA,yes,window,NA,yes,NA,NA,NA,y-black with plants,NA,NA,Doric (simplified),3,"3 (S, E, W)",NA,NA,NA,NA,"3 (S, E, W)",7,0,7,2,brick and plaster,no,"unfluted; white above, black below",NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambulatory black panels separated by blue lines (NSc 1915:429); garden imitation marble blocks in white, red, yellow, and blue; black dado with plants--3rd style 2b (PPM 3:388)",3rd,crushed limestone (calcestruzzo),masonry triclinium decorated with birds on black ground and table with marble top,no,NA,"marble amorino standing against column, formerly table support (Jash 2:99); large travertine base with inscription--reused (Phonline)",NA,semicircular pool with 13 fountain jets,masonry triclinium at N,pavilion above triclinium supported by four columns painted red below and yellow above; 2 niches in W wall,NA,collapsed roof of E portico found in situ (NSc 1916:150); 4 skeletons; amphora,NA,yes,yes,NA,NA,rectangular bed in SW corner reported by Spano (Jash 2:99),NA,NA,NA,NA,"1 semicircular, 3m wide outside, 2.35 inside (NSc 1916:151)",NA,NA,95 cm (NSc 1916:151),yes--central jet plus 12 jets along rounded portion of rim,coccio/cement,slightly rounded,NA,"2 (S, E)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd,NA,NA,NA,NA,imitation blocks above black dado with plants,corridor from atrium,S,S,no,yes,res,8,NA,8,no,no,no,"3 (S, E, W)","3 (S, E, W)",NA,1,1,1,NA,1,1,1,W,NA,NA,W,NA,NA,NA,niche W (GB V27) with 3 bronze statuettes,NA,NA,1 (Sop 297-8),NA,NA,NA,NA,NA,NA,"tric-interior with heraldic winged griffins flanking a krater, ducks among plants",NA,NA,pool with 13 fountain jets,"1 semicircular, 3m wide outside, 2.35 inside (NSc 1916:151)",rectangular bed in SW corner reported by Spano (Jash 2:99),NA,NA,NA,yes,NA,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster
III.04.02_House of the Moralist,"Spin ScNv 40, 731, 735, 737",NA,NA,10,truncated,NA,25,?,NA,NA,NA,square,non-standard,E,not visible,NA,1 irregular,NA,no,NA,NA,yes,NA,NA,NA,NA,NA,NA,unknown,2,"2 (N, E)",NA,NA,NA,NA,"2 (N, E)",2,0,2,NA,brick,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mrable table,A340--monopodium table found in peristyle (unknown which),unknown,NA,NA,NA,NA,NA,NA,NA,NA,no,yes (walkway only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,NA,"1 vir, 1 hort",NA,NA,2,NA,2,no,no,no,"2 (N, E)","2 (N, E)",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,A340--monopodium table found in peristyle (unknown which),unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster
III.04.b_House of Pinarius Cerialis / House of the Gemmarius / House of Iphegenia,"NSc 1927:103; Spin ScNv 690, 709; Pernice 51; Jash 1:199",III.4.b Jash,1918,d,truncated,NA,160,?,NA,rectangle,NA,square,NA,NA,E,NA,0,NA,NA,NA,NA,yes-partial,NA,NA,NA,NA,NA,NA,Doric,2,"2 (N, E)",NA,NA,NA,NA,"2 (N, E)",3,1,4,0,stone (tufa) and plaster,no,"unfluted, red below, white above",NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red panels separated by yellow bands,4th,crushed stone (calcestruzzo chiazzato) with white marble tesserae (Spin 690),pedestal for a basin,no,NA,NA,NA,pedestal for a basin,NA,NA,NA,"bronze brazier (SAP inv. 2647, Homo Faber 331), sacrificial knife (Jash 2:102)",NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62-79 CE,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,NA,NA,NA,NA,NA,entrance III.4.b,NA,E,no,NA,res or comm?,7 (all),NA,7,no,no,no,"2 (N, E)","2 (N, E)",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedestal for a basin,NA,NA,NA,NA,NA,NA,NA,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster
V.01.07_House of the Bull,NA,NA,1875,b,truncated,NA,160,775,0.2064516129032258,sqaure,NA,square,square,N,N,NA,2 tuscan,NA,yes,"very wide door, two steps",NA,no,NA,NA,NA,NA,"yes, .55 (Andersson)",NA,Doric,3,"3 (S, E, W)",NA,NA,NA,NA,"3 (S, E, W)",5,0,5,1 pilasters,"stone and stucco, brick and stucco",no,unfluted (stone fluted but stuccoed smooth),NA,NA,NA,NA,not measured,3.95,NA,NA,NA,NA,NA,NA,"walls unknown, fountain basin decorated with garden painting",NA,cocciopesto,possibly wooden triclinium (see Andersson),no,NA,NA,NA,"elaborate nymphaeum on N, shallow pool in center, stone channel on three sides",NA,3 stone cylinders for plants?,NA,?,NA,yes,yes,NA,NA,NA,NA,NA,very elaborate water supply system,NA,"1 square, very shallow",NA,W (center),very shallow,yes--central jet,stone lined with coccio,round,NA,"3 (S, E, W)",NA,NA,NA,"niche, arched in E walkway (72)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes (not in DeCar),NA,NA,NA,NA,tablinum 13,S,W,no,yes,res,"8 rooms, 1 corridor",1,9,2011,2011,yes,"3 (S, E, W)","3 (S, E, W)",NA,1,1,1,NA,1,1,1,E,NA,NA,E,NA,NA,NA,"niche, arched in E walkway (72, GB V28)",NA,NA,NA,1?,NA,NA,NA,NA,NA,possibly wooden triclinium (see Andersson),NA,NA,nymphaeum on N,"1 rectangle, tripartite; 1 square, very shallow",NA,NA,NA,NA,NA,NA,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster,masonry and plaster
V.01.18_House of the Epigrams,"GS 3(1874-7):258; NSc 1876:13; BdI 1877:23-4, Viola 28",NA,1875-6,i,truncated,NA,225,645,0.3488372093023256,rectangle,NA,E-W,aligned,E,E,NA,1 tuscan,NA,yes,very wide door,NA,yes,79,30,NA,y-plants and animals on a black ground,NA,NA,Doric,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",9,0,9,3,brick and plaster,no,"unfluted; red to 1.33 (BdI 1877:24), white above",NA,1.33,0.385,NA,45.5,3.45,7.6,NA,NA,NA,NA,NA,"garden painting on E; animal painting on E; architrave with dolphins & marine deities, masks above columns (PPM 3:548)",4th,NA,NA,no,NA,NA,NA,"fountain--out of use and filled in at time of eruption (Staub Gierow 2007, 98)",NA,stairway in E walkway,NA,"bronze vase, heater/boiler (caldaia),terracotta and glass vessels, iron axe, bone dice (GdS 3:258)",NA,yes,yes,NA,NA,NA,NA,NA,"intercolumniations measure between 2.3 and 3.15 m; wider spaces do not correspond with doors, SE corner transformed into storage room with shelf supports (BdI 1877:24)",NA,NA,NA,NA,NA,NA,plaster on masonry,round,65,"3 (N, E, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,yes (E),Silenus in landscape? (Sogliano),NA,yes (E),NA,tablinum g or corridor h,W,N,no,NA,res,"6 rooms, 2 corridors",2,8,2017,2017,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"masonry and plaster, some stone; stone capitals","masonry and plaster, some stone; stone capitals","masonry and plaster, some stone; stone capitals","masonry and plaster, some stone; stone capitals","masonry and plaster, some stone; stone capitals"
V.01.26_House of Caecilius Jocundus,Mau BdI 1876:228-9,NA,NA,l,truncated,NA,210,?,NA,rectangle,NA,square,square,E,E,NA,1 tuscan,NA,yes,very wide door with step,NA,"yes, with planting groove, .27",27,NA,NA,unknown,NA,NA,Doric,2,"2 (N, W)",NA,NA,NA,NA,"2 (N, W)",5 (plus 2 in front of rooms at E),0,5,1,combo: brick and stone blocks with plaster,no,"pseudo-reeded upper, smooth and yellow/red to 1.33",NA,1.33,0.34,NA,58,3.9,6.7,NA,NA,NA,NA,NA,4th style; erotic paintings; garden painting S,4th,NA,"marble monopodium basin w/fountain in N colonnade, marble monopodium in center",A296 (640); rectangular top on one rectangular foot; shown in photograph; now missing,unknown,"yes-4 oscilla, 2 Bacchic herms (Jash); painting of female fountain figure (Sogliano 1879, BdI 1876:231)",4 (Dwyer coll II 264-5),fountain in basin in N colonnade,NA,?,NA,wax tablets from upper rooms,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,coccio?,square,NA,"2 (N, W)",NA,NA,NA,NA,yes,yes (smallish room with niche marked by columns),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,"yes (S) (Jash 334-5, DeCar)",NA,NA,"yes (jash, PPP 424)",NA,tabinum i,W,N,no,NA,res,8,NA,8,2011,2011,yes,"2 (N, W)","2 (N, W)",1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,A296 (640); rectangular top on one rectangular foot; shown in photograph; now missing,unknown,NA,basin in N colonnade,NA,NA,NA,NA,NA,NA,NA,masonry or tufa and plaster,masonry or tufa and plaster,masonry or tufa and plaster,masonry or tufa and plaster,masonry or tufa and plaster
V.02.04_House of the Triclinium / House of Bacchus,"NSc 1884:47-50, 112; Mau BdI 1885:157, 202-5, 243; Boyce 34; Jash 1:177-9",NA,1884-5,o,truncated,NA,125,430,0.29069767441860467,quad,NA,square,square,N,N,NA,1 tuscan,NA,yes,very wide door with step,NA,"yes, with planting groove on S (BdI 1885:205)--located inside gutter",NA,NA,NA,y-plants on yellow ground (BdI 1885:203),NA,NA,other-squares with white stucco,3,"3 (N, S, W)",NA,NA,NA,NA,"3 (N, S, W)",4,4,8,3 (on pillars),brick and masonry (opus listatum) and plaster,no,unfluted; painted yellow,NA,NA,NA,south pillar painted white; two rear pillars with rough plaster,"38, 30","3.5, 2.45, 2.67",NA,NA,NA,NA,NA,NA,"4th style in walkways--lower portion with rough plaster, perhaps to be repainted; garden painting on back wall (BdI 1885:203)",4th,NA,NA,no,NA,marble statue base,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,"south corridor is taller than the others to make the portico look larger and grander from the tablinum (BdI 1885:203); front ambulatory was open--no trace of a roof was found (BdI 1885:202); columns measure 3.5 (S); 2.45-2.67 (E); diam. 38, 30(W) (BdI 1885: 205",NA,NA,NA,NA,NA,NA,"coccio over masonry (N, W); tufa (S)","round in NW, square SW?",NA,"3 (N, S, W)",NA,NA,NA,"niche, arched, in W wall (87); painting in SE corner (88)",NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,yes (E),NA,NA,NA,NA,tablinum g or room h,S,N,no,NA,res/inn?,"5 rooms, 2 corridors",2,7,no,no,yes,"3 (N, S, W)","3 (N, S, W)",1,1,NA,1,1,1,NA,1,"W, SE",NA,NA,W,NA,SE,NA,"niche, arched, in W wall (87, GB V33); painting in SE corner (88, GB V34)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"masonry, brick, and plaster","masonry, brick, and plaster","masonry, brick, and plaster","masonry, brick, and plaster","masonry, brick, and plaster"
V.02.10_House of Paccia,"Mau RM 1894:46-7, pl. 4; NSc 1896:418, 437; Boyce 34",NA,NA,t,truncated,NA,180,480,0.375,rectangle,NA,N-S,aligned,N,N,NA,1 tuscan,NA,yes,wide door,NA,yes,NA,NA,NA,NA,NA,NA,Doric,3,"3 (N, S, E)",NA,NA,NA,NA,"3 (N, S, W)",9,0,9,0,masonry and plaster; stone capitals,no,unfluted; white,NA,NA,NA,NA,NA,3.36,NA,NA,NA,NA,NA,NA,animal painting on W (RM 1894:47),NA,NA,NA,no,NA,NA,NA,NA,NA,"low masonry walls in garden, perhaps for flowers",NA,NA,NA,yes,yes,NA,NA,"form?-low masonry walls in garden, perhaps for flowers (NSc 1896:437)",NA,NA,"N walkway at a higher level, E walkway slopes upward; columns measure 3.34 (S), 3.39 (N) (RM 1894:46)",NA,NA,NA,NA,NA,NA,NA,square,NA,"3 (N, S, E)",NA,NA,NA,aedicula platform of masonry in E wall (91),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,tablinum l or corridor m,S,N,no,NA,res,6,NA,6,no,no,yes,"3 (N, S, E)","3 (N, S, W)",1,1,1,NA,1,1,NA,1,E,E (no),NA,NA,NA,NA,NA,aedicula platform of masonry in E wall (91),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"form?-low masonry walls in garden, perhaps for flowers (NSc 1896:437)",NA,yes,NA,NA,NA,"S tufa and plaster, E yes","S tufa and plaster, E brick and plaster","S tufa and plaster, E brick and plaster","S tufa and plaster, E brick and plaster","S tufa and plaster, E brick and plaster"
V.02.x_House of Orion,"RM 1894:55, pl. 4; NSc 1896:418, 439; Boyce 35",NA,NA,z',truncated,NA,110,NA,NA,rectangle,NA,N-S,perp,W,W,NA,1 testudinate,NA,yes,wide door,tablinum or room NW of atrium,yes; higher on S,70,NA,NA,y-painted red,NA,NA,unknown,2,"2 (S, E)",NA,NA,NA,NA,1 (E); S colonnade replaced by low wall,"3, a fourth destroyed in antiquity",0,3,NA,brick and plaster,NA,"unfluted; red to 1.3, white above",NA,1.3,0.41,NA,NA,3.2,NA,NA,NA,NA,NA,NA,"black dado on S, red dado E (NSc 1896:418)",NA,NA,NA,no,NA,NA,NA,NA,NA,stone puteal; terracotta puteal with frieze of triglyphs and bucrani,NA,lararium painting and altar,NA,yes,yes,NA,NA,NA,east,east,"column on S removed in antiquity, replaced by low wall (1.67 m); remains of an upper level of smaller, tufa columns, Ionic (Mau RM 1894:55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"painted aedicula with seated Jupiter on N wall, masonry altar below (96, pl. 39.3)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S not fully excavated, may be 2nd atrium)",? (not fully excavated),1 trunc,NA,res,5? not completely excavated,NA,5,no,no,no,"2 (S, E)",1 (E); S colonnade replaced by low wall,NA,1,1,NA,NA,NA,1,NA,N2,NA,NA,NA,N,N,NA,"painted aedicula with seated Jupiter on N wall, masonry altar below (96, pl. 39.3, GB V36)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some stone,some stone,some stone,some stone,some stone
V.02.15_House of Jupiter,"RM 1894:50-3, pl. 4; NSc 1896:418, 438-9; Boyce 35",NA,NA,p',truncated,NA,100,NA,NA,NA,NA,irregular,irregular,N,N,NA,NA,NA,yes,closed,NA,yes,NA,NA,NA,y-painted red?,NA,NA,Doric,2,"2 (N, E)",NA,NA,NA,NA,"2 (N, E)",3,1,4,2,stone; brick and masonry,NA,"unfluted? red to 1.2, white above",NA,1.2,NA,NA,45,NA,?,NA,NA,NA,NA,NA,simple 4th style in portico; garden painting S (4th style),4th simple,NA,masonry triclinium and table,A335; marble monopodium table between column and pilaster on rear wall (Mau RM 1894:50),"N, under lararium niche, held 2 bronze vessels",herm painted on garden wall,NA,NA,masonry triclinium and table,pergola over triclinium supported by 2 yellow columns painted with grapevines and 2 engaged columns; lararium aedicula and painting,NA,bronze basin with two handles on table in N portico (Sogliano NSc 1896:439),NA,yes,yes,NA,NA,unk-holes in pavilion columns beams that supported vines overhead (Mau RM 1894:51; Jash 2:111),NA,NA,column diam 45 (Mau RM 1894:50),NA,NA,NA,NA,NA,NA,coccio over masonry,round,NA,NA,NA,NA,NA,"niche, triangular roof, in N wall with painting and travertine table below holding bronze seashell (94)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th simple,yes (S),NA,NA,NA,NA,corridor m from atrium,S,N,1 trunc,NA,res,"10 rooms, 1 garden (? not completely excavated)",NA,11,no,no,yes,"2 (N, E)","2 (N, E)",1,NA,1,NA,1,NA,1,NA,N2,NA,NA,N,NA,N,NA,"niche, triangular roof, in N wall with painting and travertine table below holding bronze seashell (94, GB V35)",1,NA,1 (Sop 298-9),NA,NA,1,NA,NA,NA,A335; marble monopodium table between column and pilaster on rear wall (Mau RM 1894:50); tric table with marble slab top,"amb-N, under lararium niche, held 2 bronze vessels",altar,NA,NA,unk-holes in pavilion columns beams that supported vines overhead (Mau RM 1894:51; Jash 2:111),NA,NA,yes,NA,NA,stone,stone,stone,stone,stone
V.02.g_House of N. Fufidius Successus,"RM 1893:13-14, pl. 1; NSc 1896:418, 421; Boyce 36",V.ii.C (Mau),NA,p/q,truncated,NA,130,485,0.26804123711340205,NA,NA,N-S,aligned,S,S,NA,1 tuscan,NA,yes,window,NA,no?,NA,NA,NA,NA,NA,NA,unknown,1,1 (N),NA,NA,NA,NA,1 (N),2,0,2,NA,unknown,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,masonry biclinium,no,NA,NA,NA,NA,masonry biclinium,aedicula with phallus carving in tufa,NA,amphorae,NA,no?,yes?,NA,NA,form?--planting beds visible (Mau RM 1893:14),NA,NA,virtually destroyed today,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other-phallus in relief on a tufa slab surrounded by aedicula, W wall and E wall (105)",no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor k,N,N,no,NA,res,1,NA,1,2017,no,yes 2017,1 (N),1 (N),1,NA,NA,NA,1,NA,NA,NA,"W, E",NA,"relief with aedicula 2 W, E",NA,NA,NA,NA,"other-phallus in relief on a tufa slab surrounded by aedicula, W wall and E wall (105)",NA,NA,1 (Sop 306),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,form?--planting beds visible (Mau RM 1893:14),NA,NA,NA,yes,NA,stone,stone,stone,stone,stone
V.02.i_House of the Silver Wedding,NA,NA,NA,r,tru,NA,300,1940,15,NA,1.2,N-S,aligned,S,S,NA,1 tetrastyle,"Corinthian, stone","yes, wide door",NA,tablinum or andron (1),no,NA,NA,NA,NA,NA,NA,Doric,4,"N, S, E, W",1.9,3.8,S,N,NA,17,2,19,NA,"stone and plaster, some brick and plaster",no,"north colonnade fluted above, others octagonal above",smooth and red,NA,NA,NA,60 cm (north); 45 cm,4.2 (north); 2.9,7:1 (north); 6.4:1,3.8 (north),1.85,1.6-2.1,0.1,4.11,3rd/4th style,3rd/4th,colored chips (Veneziana),"cupboards in ambulatory (Allison 2004, 89)",? C69 lion protome from tripod table found somewhere in house--location unknown,NA,"yes-four glazed clay animals, perhaps from Egypt--frog, toad, crocoliles (Jash 2:113)",NA,"lead pipes on NW and NE columns, channel all around",NA,?,no--cistern heads in other rooms (baths and atrium),?,"large hortus, outdoor bath",yes,yes,aligned (slight),yes,tree root cavities reported (Jash 2:113),north,east,Rhodian,"lead pipes on NW and NE columns, channel all around",none,NA,NA,NA,NA,concrete,platforms round (concrete),0.55000000000000004,NA,yes,80-30 BCE,? (not fully excavated),no,NA,no,NA,NA,yes,"4+ rooms, 1 garden",5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V.03.04_House of the Ceiling,"Sogliano NSc 1905:203, 205-6",NA,NA,F,truncated,NA,80,695+,NA,NA,NA,N-S,NA,NA,N,NA,0,NA,NA,NA,NA,yes,80,NA,NA,y-red with plants and birds (NSc 1905:206),NA,NA,Doric,2,"2 (N, W)",NA,NA,NA,NA,"2 (N, W)",2,0,2,1 pilaster E,brick/masonry and plaster,NA,"fluted, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black panels above red dado, separated by candelabra or wide yellow bands (NSc 1905: 205); E and S garden walls undecorated (rustic) (NSc 1905:206)",3rd/4th and undecorated,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes (walkway only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cement over masonry,square,NA,"2 (N, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd/4th and undecorated,NA,NA,NA,NA,NA,corridor A from entrance,NA,W,1 hort at rear (unexcavated),NA,res,"12+ rooms, 1 hortus, 1 corridor (not completely excavated)",1,14,no,no,yes,"2 (N, W)","2 (N, W)",1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stone,stone,stone,stone,stone
V.03.10_house,"NSc 1901:400-5; Paribeni NSc 1902:201, 203-4",NA,1901-2,i/l,truncated,NA,30,310,0.0967741935483871,L,NA,N-S,perp,W,W,NA,1 tuscan,NA,yes,wide door,NA,no,NA,NA,NA,NA,NA,NA,unknown,2,"2 (S, W)",NA,NA,NA,NA,"2 (S, W)",1,0,1,0,brick and plaster,no,"octagonal, painted red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"walkway red main zone, black dado, white above (late 3rd); garden white rectangles, red, yellow, blue squares, black dado with plants (NSc 1902:203)",3rd (late),cocciopesto?,marble table,A222; herm monopodium in NE; young Bacchus or Bacchante,NE corner,marble relief of Aphrodite with people bringing sacrifice (MN 126174); found leaning against wall (NSc 1901:400),NA,NA,NA,terracotta conduit for water against west wall. leading to gutter channel (NSc 1902:204),NA,"terracotta and glass vessels; 4 amphore; skeleton of a tortoise; 4 little terracotta pots fixed in the ground for plants, lead water basin (NSc 1901:403-5)",NA,yes,yes,NA,NA,form-narrow raised bed (5.5X.5) along rear wall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd (late),NA,NA,NA,NA,checkerboard,tablinum h or corridor m from atrium,E,S,no,NA,res,1,NA,1,no,no,no,"2 (S, W)","2 (S, W)",NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,A222; herm monopodium in NE; young Bacchus or Bacchante,garden-NE corner,NA,NA,NA,form-narrow raised bed (5.5X.5) along rear wall,NA,NA,NA,yes,NA,stone (grey tufa),stone (grey tufa),stone (grey tufa),stone (grey tufa),stone (grey tufa)
